code,suffix,name,sector,subsector
318000,KQ,KBG,합성고무 및 플라스틱 물질 제조업,
008970,KS,KBI동양철관,1차 철강 제조업,
024840,KQ,KBI메탈,1차 비철금속 제조업,
105560,KS,KB금융,기타 금융업,
432320,KS,KB스타리츠,부동산 임대 및 공급업,
024120,KQ,KB오토시스,자동차 신품 부품 제조업,
478390,KQ,KB제29호스팩,금융 지원 서비스업,
486630,KQ,KB제30호스팩,금융 지원 서비스업,
492220,KQ,KB제31호스팩,금융 지원 서비스업,
002380,KS,KCC,기타 화학제품 제조업,
021320,KQ,KCC건설,건물 건설업,
344820,KS,KCC글라스,유리 및 유리제품 제조업,
009070,KS,KCTC,도로 화물 운송업,
009440,KS,KC그린홀딩스,기타 금융업,
119650,KS,KC코트렐,일반 목적용 기계 제조업,
044180,KQ,KD,건물 건설업,
092220,KS,KEC,반도체 제조업,
003620,KS,KG모빌리티,자동차용 엔진 및 자동차 제조업,
016380,KS,KG스틸,1차 철강 제조업,
151860,KQ,KG에코솔루션,자동차 차체나 트레일러 제조업,
035600,KQ,KG이니시스,소프트웨어 개발 및 공급업,
001390,KS,KG케미칼,기초 화학물질 제조업,
046440,KQ,KG파이낸셜,소프트웨어 개발 및 공급업,
060720,KQ,KH바텍,전자부품 제조업,
001940,KS,KISCO홀딩스,1차 철강 제조업,
058400,KQ,KNN,텔레비전 방송업,
025000,KS,KPX케미칼,기초 화학물질 제조업,
092230,KS,KPX홀딩스,기초 화학물질 제조업,
000040,KS,KR모터스,그외 기타 운송장비 제조업,
044450,KS,KSS해운,해상 운송업,
101000,KQ,KS인더스트리,특수 목적용 기계 제조업,
030200,KS,KT,전기 통신업,
033780,KS,KT&G,담배 제조업,
058850,KS,KTcs,기타 정보 서비스업,
058860,KS,KTis,기타 정보 서비스업,
089600,KQ,KT나스미디어,광고업,
418470,KQ,KT밀리의서재,"서적, 잡지 및 기타 인쇄물 출판업",
043610,KQ,KT지니뮤직,영상·오디오물 제공 서비스업,
122450,KQ,KX,텔레비전 방송업,
052900,KQ,KX하이텍,플라스틱제품 제조업,
036560,KQ,KZ정밀,일반 목적용 기계 제조업,
061970,KQ,LB세미콘,반도체 제조업,
309960,KQ,LB인베스트먼트,기타 금융업,
093050,KS,LF,봉제의복 제조업,
003550,KS,LG,기타 금융업,
034220,KS,LG디스플레이,전자부품 제조업,
051900,KS,LG생활건강,기타 화학제품 제조업,
051905,KS,LG생활건강우,,
064400,KS,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",
373220,KS,LG에너지솔루션,일차전지 및 이차전지 제조업,
003555,KS,LG우,,
032640,KS,LG유플러스,전기 통신업,
011070,KS,LG이노텍,전자부품 제조업,
066570,KS,LG전자,통신 및 방송 장비 제조업,
066575,KS,LG전자우,,
037560,KS,LG헬로비전,텔레비전 방송업,
051910,KS,LG화학,기초 화학물질 제조업,
051915,KS,LG화학우,,
079550,KS,LIG디펜스앤에어로스페이스,무기 및 총포탄 제조업,
073490,KQ,LIG아큐버,통신 및 방송 장비 제조업,
225190,KQ,LK삼양,사진장비 및 광학기기 제조업,
006260,KS,LS,기타 금융업,
010120,KS,LS ELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",
091970,KQ,LSK아이로봇,플라스틱제품 제조업,
000680,KS,LS네트웍스,상품 종합 도매업,
060370,KQ,LS마린솔루션,전기 및 통신 공사업,
417200,KQ,LS머트리얼즈,전자부품 제조업,
229640,KS,LS에코에너지,기타 금융업,
078020,KQ,LS증권,금융 지원 서비스업,
322180,KQ,LS티라유텍,소프트웨어 개발 및 공급업,
108320,KS,LX세미콘,반도체 제조업,
001120,KS,LX인터내셔널,상품 중개업,
108670,KS,LX하우시스,플라스틱제품 제조업,
108675,KS,LX하우시스우,,
383800,KS,LX홀딩스,기타 금융업,
476080,KQ,M83,"영화, 비디오물, 방송프로그램 제작 및 배급업",
086960,KQ,MDS테크,소프트웨어 개발 및 공급업,
023150,KS,MH에탄올,알코올음료 제조업,
035420,KS,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",
036570,KS,NC,소프트웨어 개발 및 공급업,
160550,KQ,NEW,"영화, 비디오물, 방송프로그램 제작 및 배급업",
053290,KQ,NE능률,"서적, 잡지 및 기타 인쇄물 출판업",
181710,KS,NHN,소프트웨어 개발 및 공급업,
060250,KQ,NHN KCP,금융 지원 서비스업,
104200,KQ,NHN벅스,기타 정보 서비스업,
054050,KQ,NH농우바이오,작물 재배업,
400760,KS,NH올원리츠,부동산 임대 및 공급업,
005940,KS,NH투자증권,금융 지원 서비스업,
005945,KS,NH투자증권우,,
338100,KS,NH프라임리츠,부동산 임대 및 공급업,
034310,KS,NICE,회사 본부 및 경영 컨설팅 서비스업,
063570,KQ,NICE인프라,기타 사업지원 서비스업,
030190,KS,NICE평가정보,기타 정보 서비스업,
008260,KS,NI스틸,1차 철강 제조업,
004250,KS,NPC,플라스틱제품 제조업,
004255,KS,NPC우,,
456040,KS,OCI,기초 화학물질 제조업,
010060,KS,OCI홀딩스,기타 금융업,
178920,KS,PI첨단소재,플라스틱제품 제조업,
001340,KS,PKC,기초 화학물질 제조업,
024940,KQ,PN풍년,생활용품 도매업,
005490,KS,POSCO홀딩스,1차 철강 제조업,
332570,KQ,PS일렉트로닉스,전자부품 제조업,
218410,KQ,RFHIC,통신 및 방송 장비 제조업,
327260,KQ,RF머트리얼즈,전자부품 제조업,
474610,KQ,RF시스템즈,기타 금속 가공제품 제조업,
091340,KQ,S&K폴리텍,전자부품 제조업,
010950,KS,S-Oil,석유 정제품 제조업,
010955,KS,S-Oil우,,
419530,KQ,SAMG엔터,"영화, 비디오물, 방송프로그램 제작 및 배급업",
019550,KQ,SBI인베스트먼트,신탁업 및 집합투자업,
034120,KS,SBS,텔레비전 방송업,
003080,KS,SB성보,"비료, 농약 및 살균, 살충제 제조업",
246960,KQ,SCL사이언스,의료용품 및 기타 의약 관련제품 제조업,
099220,KQ,SDN,기계장비 및 관련 물품 도매업,
056190,KQ,SFA,특수 목적용 기계 제조업,
222080,KQ,SFA넥셀,특수 목적용 기계 제조업,
036540,KQ,SFA반도체,반도체 제조업,
255220,KQ,SG,기타 비금속 광물제품 제조업,
040610,KQ,SG&G,자동차 신품 부품 제조업,
184230,KQ,SGA솔루션즈,소프트웨어 개발 및 공급업,
016250,KQ,SGC E&C,건물 건설업,
005090,KS,SGC에너지,전기업,
001380,KS,SG글로벌,자동차 신품 부품 제조업,
004060,KS,SG세계물산,상품 종합 도매업,
001770,KS,SHD,1차 철강 제조업,
002360,KS,SH에너지화학,기초 화학물질 제조업,
009160,KS,SIMPAC,1차 철강 제조업,
033530,KS,SJG세종,자동차 신품 부품 제조업,
123700,KS,SJM,자동차 신품 부품 제조업,
025530,KS,SJM홀딩스,자동차 부품 및 내장품 판매업,
034730,KS,SK,기타 금융업,
357880,KQ,SKAI,소프트웨어 개발 및 공급업,
011790,KS,SKC,기타 화학제품 제조업,
018670,KS,SK가스,기타 전문 도매업,
001740,KS,SK네트웍스,기타 전문 도매업,
006120,KS,SK디스커버리,기타 금융업,
006125,KS,SK디스커버리우,,
210980,KS,SK디앤디,부동산 임대 및 공급업,
395400,KS,SK리츠,부동산 임대 및 공급업,
